
觀測時間(day),測站氣壓(hPa),海平面氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),露點溫度(℃),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),降水時數(hour),最大十分鐘降水量(mm),最大十分鐘降水量起始時間(LST),最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間(LST),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),能見度(km),A型蒸發量(mm),日最高紫外線指數,日最高紫外線指數時間(LST),總雲量(0~10)
12,1005.6 ,... ,1006.8 ,2022-06-12 01:05 ,1004.5 ,2022-06-12 05:33 ,25.2 ,27.4 ,2022-06-12 15:31 ,22.6 ,2022-06-12 02:04 ,... ,91 ,84 ,2022-06-12 09:51 ,0.6 ,15 ,5.6 ,22 ,2022-06-12 04:59 ,19.5 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
13,1002.5 ,... ,1004.6 ,2022-06-13 00:01 ,1001.3 ,2022-06-13 13:51 ,28.5 ,34.7 ,2022-06-13 12:31 ,23.6 ,2022-06-13 05:06 ,... ,75 ,50 ,2022-06-13 11:52 ,1.3 ,320 ,8.5 ,329 ,2022-06-13 13:26 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
14,1003.7 ,... ,1007.0 ,2022-06-14 22:15 ,1000.4 ,2022-06-14 04:42 ,29.3 ,34.5 ,2022-06-14 10:06 ,24.6 ,2022-06-14 05:42 ,... ,69 ,44 ,2022-06-14 12:21 ,1.6 ,338 ,9.2 ,321 ,2022-06-14 15:42 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
15,1006.5 ,... ,1008.5 ,2022-06-15 23:04 ,1003.2 ,2022-06-15 08:11 ,26.1 ,27.6 ,2022-06-15 12:01 ,24.0 ,2022-06-15 16:02 ,... ,88 ,76 ,2022-06-15 00:02 ,0.7 ,102 ,4.8 ,353 ,2022-06-15 14:34 ,10.5 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
16,1006.9 ,... ,1009.9 ,2022-06-16 09:13 ,1005.2 ,2022-06-16 14:21 ,26.2 ,31.6 ,2022-06-16 12:51 ,23.0 ,2022-06-16 09:42 ,... ,85 ,56 ,2022-06-16 12:51 ,0.8 ,94 ,7.8 ,294 ,2022-06-16 08:45 ,7.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
17,1005.4 ,... ,1006.3 ,2022-06-17 00:01 ,1004.5 ,2022-06-17 04:51 ,27.8 ,32.9 ,2022-06-17 12:42 ,23.6 ,2022-06-17 00:01 ,... ,79 ,54 ,2022-06-17 12:42 ,1.1 ,323 ,8.2 ,327 ,2022-06-17 11:26 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
18,1004.6 ,... ,1005.8 ,2022-06-18 00:01 ,1003.2 ,2022-06-18 14:11 ,29.3 ,34.2 ,2022-06-18 12:04 ,24.9 ,2022-06-18 04:51 ,... ,72 ,47 ,2022-06-18 11:55 ,1.3 ,347 ,6.6 ,323 ,2022-06-18 14:56 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
19,1004.3 ,... ,1005.2 ,2022-06-19 06:56 ,1002.7 ,2022-06-19 15:02 ,29.1 ,35.1 ,2022-06-19 11:46 ,25.3 ,2022-06-19 05:11 ,... ,74 ,49 ,2022-06-19 11:46 ,1.1 ,352 ,9.1 ,345 ,2022-06-19 14:20 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
20,1002.5 ,... ,1003.8 ,2022-06-20 00:01 ,1000.8 ,2022-06-20 14:12 ,29.5 ,34.6 ,2022-06-20 11:51 ,25.0 ,2022-06-20 05:01 ,... ,69 ,47 ,2022-06-20 11:06 ,1.2 ,32 ,7.8 ,248 ,2022-06-20 09:57 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
21,1003.9 ,... ,1006.1 ,2022-06-21 22:33 ,1000.7 ,2022-06-21 02:11 ,28.8 ,33.2 ,2022-06-21 10:32 ,25.8 ,2022-06-21 05:06 ,... ,73 ,55 ,2022-06-21 10:32 ,1.2 ,103 ,7.9 ,346 ,2022-06-21 12:20 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
22,1006.9 ,... ,1008.9 ,2022-06-22 21:53 ,1004.6 ,2022-06-22 01:31 ,30.0 ,35.1 ,2022-06-22 11:11 ,25.1 ,2022-06-22 05:11 ,... ,69 ,47 ,2022-06-22 10:41 ,1.1 ,104 ,7.1 ,345 ,2022-06-22 15:13 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
23,1007.3 ,... ,1009.0 ,2022-06-23 07:11 ,1005.2 ,2022-06-23 14:34 ,29.4 ,35.7 ,2022-06-23 10:54 ,26.1 ,2022-06-23 05:07 ,... ,75 ,45 ,2022-06-23 10:14 ,1.1 ,119 ,7.4 ,293 ,2022-06-23 14:05 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
24,1005.8 ,... ,1007.3 ,2022-06-24 07:45 ,1004.2 ,2022-06-24 23:46 ,27.8 ,35.0 ,2022-06-24 11:01 ,25.0 ,2022-06-24 05:13 ,... ,80 ,47 ,2022-06-24 11:01 ,1.1 ,38 ,8.7 ,341 ,2022-06-24 13:30 ,16.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
25,1005.8 ,... ,1007.1 ,2022-06-25 19:01 ,1003.2 ,2022-06-25 02:11 ,27.5 ,34.2 ,2022-06-25 11:01 ,24.2 ,2022-06-25 05:13 ,... ,82 ,53 ,2022-06-25 11:01 ,1.2 ,6 ,8.6 ,117 ,2022-06-25 14:05 ,25.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
26,1007.3 ,... ,1009.0 ,2022-06-26 08:40 ,1005.8 ,2022-06-26 01:51 ,29.1 ,35.2 ,2022-06-26 12:21 ,24.1 ,2022-06-26 02:45 ,... ,73 ,48 ,2022-06-26 11:26 ,0.9 ,99 ,6.6 ,12 ,2022-06-26 15:18 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
27,1005.8 ,... ,1007.7 ,2022-06-27 07:44 ,1004.1 ,2022-06-27 23:52 ,29.9 ,35.2 ,2022-06-27 12:15 ,25.6 ,2022-06-27 04:51 ,... ,69 ,50 ,2022-06-27 14:13 ,1.0 ,7 ,7.0 ,247 ,2022-06-27 12:57 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
28,1002.8 ,... ,1004.6 ,2022-06-28 06:22 ,1001.1 ,2022-06-28 15:41 ,30.1 ,35.8 ,2022-06-28 11:45 ,25.8 ,2022-06-28 05:12 ,... ,68 ,49 ,2022-06-28 11:45 ,1.2 ,12 ,5.9 ,99 ,2022-06-28 22:46 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
29,1001.6 ,... ,1003.5 ,2022-06-29 21:02 ,999.8 ,2022-06-29 15:42 ,30.0 ,34.2 ,2022-06-29 12:39 ,26.4 ,2022-06-29 05:12 ,... ,69 ,56 ,2022-06-29 16:01 ,1.3 ,136 ,12.7 ,173 ,2022-06-29 16:31 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
30,1001.6 ,... ,1003.2 ,2022-06-30 22:02 ,1000.2 ,2022-06-30 15:51 ,30.5 ,33.6 ,2022-06-30 14:31 ,27.9 ,2022-06-30 04:04 ,... ,62 ,51 ,2022-06-30 14:21 ,2.8 ,110 ,12.1 ,149 ,2022-06-30 12:56 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
